cbsa,cbsa_name,X000,X01,X02,X03,X04,X05,X06,X07,X08,X09,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,total_workers,worker_to_jobloss_rate,cbsa_cbsaName
21420,"Enid, OK",972,0.0,485.8,0.2,18.2,130.5,11.1,-39.9,6.2,36.8,28.3,21.2,7.9,0.0,118.7,-80.2,167.3,29.6,1.0,22.9,6.1,23977,0.04052,"21420, Enid, OK"
22060,"Faribault-Northfield, MN",1658,0.0,-1.3,2.9,25.8,186.4,63.4,126.2,67.1,52.0,38.8,15.5,16.7,41.1,27.1,115.9,273.3,67.2,385.8,99.5,54.6,33035,0.0502,"22060, Faribault-Northfield, MN"
22280,"Fernley, NV",703,0.0,-31.2,-7.0,112.3,-77.5,-29.5,-100.1,-208.2,37.4,-5.5,26.4,-21.9,19.0,82.5,99.0,88.2,185.1,458.5,24.4,50.8,23215,0.03026,"22280, Fernley, NV"
22300,"Findlay, OH",1318,0.0,4.6,1.4,42.1,290.9,22.9,4.2,-117.5,31.5,5.7,11.1,30.3,27.1,108.0,68.2,232.5,38.6,341.6,145.2,29.7,35619,0.03701,"22300, Findlay, OH"
22800,"Fort Madison-Keokuk, IA-IL-MO",1076,0.0,1.1,2.7,49.0,68.8,27.6,20.7,5.7,27.8,20.8,10.7,21.5,5.3,17.8,203.0,263.2,33.5,230.0,27.7,39.5,26320,0.04089,"22800, Fort Madison-Keokuk, IA-IL-MO"
23180,"Frankfort, KY",1223,0.0,8.5,-0.5,-16.7,204.8,8.7,-108.5,-38.0,16.8,-10.7,8.1,-19.5,10.1,198.7,93.9,103.2,-6.5,459.1,71.3,240.4,32803,0.03729,"23180, Frankfort, KY"
23300,"Freeport, IL",1227,0.0,2.8,1.2,22.1,243.8,24.0,42.7,-48.8,31.8,38.1,14.0,31.8,4.9,50.2,118.1,200.8,72.4,291.1,54.4,31.6,21610,0.05678,"23300, Freeport, IL"
23380,"Fremont, OH",1407,0.0,7.4,2.6,46.8,398.5,17.7,25.7,-6.8,23.3,8.9,10.4,30.0,8.3,72.0,52.5,233.5,47.7,297.6,100.4,30.0,29345,0.04793,"23380, Fremont, OH"
25880,"Hillsdale, MI",1343,0.0,0.9,2.2,3.2,475.5,25.3,65.1,-5.9,28.6,-1.1,12.8,-0.2,1.6,101.1,83.6,185.1,32.2,216.9,83.3,32.8,19285,0.06964,"25880, Hillsdale, MI"
28300,"Keene, NH",1669,0.0,-0.1,2.6,64.3,198.9,65.8,242.0,-55.5,49.5,-27.2,19.4,-38.8,-17.9,50.7,365.6,288.6,-5.7,220.0,162.9,84.0,36431,0.04582,"28300, Keene, NH"
29020,"Kokomo, IN",1242,0.0,2.0,-0.3,42.2,365.4,7.6,-23.5,-42.7,62.7,10.1,36.4,0.2,-4.7,234.0,38.0,132.2,5.0,243.8,135.6,-1.4,37148,0.03345,"29020, Kokomo, IN"
